Year,Column,Num_NA,Count_1,Unique_Values
2006,EDUCCAT2,0,6682,"1, 2, 3, 4, 5"
2006,IREDUC2,0,1603,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2006,IIEDUC2,0,55026,"1, 3"
2006,CATAGE,0,18234,"1, 2, 3, 4"
2006,CATAG2,0,18234,"1, 2, 3"
2006,CATAG3,0,18234,"1, 2, 3, 4, 5"
2006,CATAG7,0,5817,"1, 2, 3, 4, 5, 6, 7"
2007,YEAR,0,0,2007
2007,IRSEX,0,26519,"1, 2"
2007,EDUCCAT2,0,6704,"1, 2, 3, 4, 5"
2007,IREDUC2,0,1557,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2007,IIEDUC2,0,55039,"1, 3"
2007,CATAGE,0,17622,"1, 2, 3, 4"
2007,CATAG2,0,17622,"1, 2, 3"
2007,CATAG3,0,17622,"1, 2, 3, 4, 5"
2007,CATAG7,0,5598,"1, 2, 3, 4, 5, 6, 7"
2008,YEAR,0,0,2008
2008,IRSEX,0,26428,"1, 2"
2008,EDUCCAT2,0,6682,"1, 2, 3, 4, 5"
2008,IREDUC2,0,1427,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2008,IIEDUC2,0,55103,"1, 3"
2008,CATAGE,0,17606,"1, 2, 3, 4"
2008,CATAG2,0,17606,"1, 2, 3"
2008,CATAG3,0,17606,"1, 2, 3, 4, 5"
2008,CATAG7,0,5396,"1, 2, 3, 4, 5, 6, 7"
2009,YEAR,0,0,2009
2009,IRSEX,0,26474,"1, 2"
2009,EDUCCAT2,0,6401,"1, 2, 3, 4, 5"
2009,IREDUC2,0,1346,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2009,IIEDUC2,0,55227,"1, 3"
2009,CATAGE,0,17527,"1, 2, 3, 4"
2009,CATAG2,0,17527,"1, 2, 3"
2009,CATAG3,0,17527,"1, 2, 3, 4, 5"
2009,CATAG7,0,5269,"1, 2, 3, 4, 5, 6, 7"
2010,YEAR,0,0,2010
2010,IRSEX,0,27528,"1, 2"
2010,EDUCCAT2,0,6320,"1, 2, 3, 4, 5"
2010,IREDUC2,0,1456,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2010,IIEDUC2,0,57307,"1, 3"
2010,CATAGE,0,18394,"1, 2, 3, 4"
2010,CATAG2,0,18394,"1, 2, 3"
2010,CATAG3,0,18394,"1, 2, 3, 4, 5"
2010,CATAG7,0,5909,"1, 2, 3, 4, 5, 6, 7"
2011,YEAR,0,0,2011
2011,IRSEX,0,28354,"1, 2"
2011,EDUCCAT2,0,6199,"1, 2, 3, 4, 5"
2011,IREDUC2,0,1516,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2011,IIEDUC2,0,58393,"1, 3"
2011,CATAGE,0,19264,"1, 2, 3, 4"
2011,CATAG2,0,19264,"1, 2, 3"
2011,CATAG3,0,19264,"1, 2, 3, 4, 5"
2011,CATAG7,0,6139,"1, 2, 3, 4, 5, 6, 7"
2012,YEAR,0,0,2012
2012,IRSEX,0,26542,"1, 2"
2012,EDUCCAT2,0,5941,"1, 2, 3, 4, 5"
2012,IREDUC2,0,1446,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2012,IIEDUC2,0,55263,"1, 3"
2012,CATAGE,0,17399,"1, 2, 3, 4"
2012,CATAG2,0,17399,"1, 2, 3"
2012,CATAG3,0,17399,"1, 2, 3, 4, 5"
2012,CATAG7,0,5555,"1, 2, 3, 4, 5, 6, 7"
2013,YEAR,0,0,2013
2013,IRSEX,0,26331,"1, 2"
2013,EDUCCAT2,0,5705,"1, 2, 3, 4, 5"
2013,IREDUC2,0,1391,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2013,IIEDUC2,0,55155,"1, 3"
2013,CATAGE,0,17736,"1, 2, 3, 4"
2013,CATAG2,0,17736,"1, 2, 3"
2013,CATAG3,0,17736,"1, 2, 3, 4, 5"
2013,CATAG7,0,5650,"1, 2, 3, 4, 5, 6, 7"
2014,YEAR,0,0,2014
2014,IRSEX,0,26322,"1, 2"
2014,EDUCCAT2,0,5627,"1, 2, 3, 4, 5"
2014,IREDUC2,0,1223,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2014,IIEDUC2,0,55263,"1, 3"
2014,CATAGE,0,13600,"1, 2, 3, 4"
2014,CATAG2,0,13600,"1, 2, 3"
2014,CATAG3,0,13600,"1, 2, 3, 4, 5"
2014,CATAG7,0,4353,"1, 2, 3, 4, 5, 6, 7"
2015,YEAR,0,0,2015
2015,IRSEX,0,26736,"1, 2"
2015,EDUCCAT2,0,0,-9
2015,IREDUC2,0,0,-9
2015,IIEDUC2,0,0,-9
2015,CATAGE,0,13585,"1, 2, 3, 4"
2015,CATAG2,0,13585,"1, 2, 3"
2015,CATAG3,0,13585,"1, 2, 3, 4, 5"
2015,CATAG7,0,4292,"1, 2, 3, 4, 5, 6, 7"
2016,YEAR,0,0,2016
2016,IRSEX,0,27141,"1, 2"
2016,EDUCCAT2,0,0,-9
2016,IREDUC2,0,0,-9
2016,IIEDUC2,0,0,-9
2016,CATAGE,0,14272,"1, 2, 3, 4"
2016,CATAG2,0,14272,"1, 2, 3"
2016,CATAG3,0,14272,"1, 2, 3, 4, 5"
2016,CATAG7,0,4623,"1, 2, 3, 4, 5, 6, 7"
2017,YEAR,0,0,2017
2017,IRSEX,0,27037,"1, 2"
2017,EDUCCAT2,0,0,-9
2017,IREDUC2,0,0,-9
2017,IIEDUC2,0,0,-9
2017,CATAGE,0,13722,"1, 2, 3, 4"
2017,CATAG2,0,13722,"1, 2, 3"
2017,CATAG3,0,13722,"1, 2, 3, 4, 5"
2017,CATAG7,0,4307,"1, 2, 3, 4, 5, 6, 7"
2018,YEAR,0,0,2018
2018,IRSEX,0,26955,"1, 2"
2018,EDUCCAT2,0,0,-9
2018,IREDUC2,0,0,-9
2018,IIEDUC2,0,0,-9
2018,CATAGE,0,13287,"1, 2, 3, 4"
2018,CATAG2,0,13287,"1, 2, 3"
2018,CATAG3,0,13287,"1, 2, 3, 4, 5"
2018,CATAG7,0,4295,"1, 2, 3, 4, 5, 6, 7"
2019,YEAR,0,0,2019
2019,IRSEX,0,26788,"1, 2"
2019,EDUCCAT2,0,0,-9
2019,IREDUC2,0,0,-9
2019,IIEDUC2,0,0,-9
2019,CATAGE,0,13397,"1, 2, 3, 4"
2019,CATAG2,0,13397,"1, 2, 3"
2019,CATAG3,0,13397,"1, 2, 3, 4, 5"
2019,CATAG7,0,4333,"1, 2, 3, 4, 5, 6, 7"
